Category,x,y,amount
food,5,5,2
chemical,6,5,41.9598002256584
food,6,5,2
chemical,7,5,46.4662340336054
food,7,5,2
chemical,8,5,46.5560310952191
chemical,9,5,39.664141041378
chemical,10,5,26.1505098046777
chemical,11,5,14.2444520264693
chemical,12,5,6.82430422353202
chemical,13,5,3.18390684537913
chemical,14,5,1.62683419340331
chemical,15,5,0.972035202294719
chemical,16,5,0.674955167556754
chemical,17,5,0.556106885243088
chemical,18,5,0.577281484936625
chemical,19,5,0.710796207808659
chemical,20,5,0.891053221840495
chemical,21,5,1.01947641289945
chemical,22,5,1.04266324160008
chemical,23,5,0.976512995759291
chemical,24,5,0.890730229432342
chemical,25,5,0.832691854294739
chemical,26,5,0.811662440789456
chemical,27,5,0.809702637208649
chemical,28,5,0.81111386133799
chemical,29,5,0.808495139951654
chemical,30,5,0.800961744540865
chemical,31,5,0.792130872352279
chemical,32,5,0.78844279302466
chemical,33,5,0.796777071549153
chemical,34,5,0.821651007827208
chemical,35,5,0.863116125716806
chemical,36,5,0.91627093155206
chemical,37,5,0.972527289918716
chemical,38,5,1.02194728703628
chemical,0,6,6.68734763915548
chemical,1,6,11.0297512268591
chemical,2,6,17.0911244877133
chemical,3,6,24.5727784671061
food,3,6,2
chemical,4,6,31.2667880176882
food,4,6,2
chemical,5,6,36.4615977707672
food,5,6,2
chemical,6,6,36.2281837854911
food,6,6,2
chemical,7,6,33.8820403574248
food,7,6,2
chemical,8,6,30.5681731954748
chemical,9,6,24.8416166999629
chemical,10,6,17.3359384982787
chemical,11,6,10.0743761419807
chemical,12,6,5.1925293196429
chemical,13,6,2.60619460356188
chemical,14,6,1.41343292051252
chemical,15,6,0.869618374825316
chemical,16,6,0.599197921023347
chemical,17,6,0.46298661331687
chemical,18,6,0.418055089202237
chemical,19,6,0.441966983314087
chemical,20,6,0.502847993832599
chemical,21,6,0.564117600596493
chemical,22,6,0.600408116138926
chemical,23,6,0.611612566765252
chemical,24,6,0.612976720484138
chemical,25,6,0.61978296759728
chemical,26,6,0.635327032534629
chemical,27,6,0.655061881366706
chemical,28,6,0.673372584635501
chemical,29,6,0.688592394415659
chemical,30,6,0.703332903215155
chemical,31,6,0.723536689784268
chemical,32,6,0.756766544691507
chemical,33,6,0.809638311602975
chemical,34,6,0.885017656346962
chemical,35,6,0.980135587314316
chemical,36,6,1.08655252799346
chemical,37,6,1.19206595687762
chemical,38,6,1.28369889215289
chemical,0,7,5.82874892458198
chemical,1,7,9.09244018021365
chemical,2,7,13.8863698320481
chemical,3,7,19.4856689610985
food,3,7,1
chemical,4,7,25.1402007840677
food,4,7,1
chemical,5,7,27.5866577696662
food,5,7,2
chemical,6,7,26.3790897699171
food,6,7,2
chemical,7,7,22.1210176369818
food,7,7,2
chemical,8,7,17.6350709589438
chemical,9,7,13.5043534056433
chemical,10,7,9.50584266791743
chemical,11,7,6.00172192012582
chemical,12,7,3.44486870650114
chemical,13,7,1.93375093900668
chemical,14,7,1.14644619979238
chemical,15,7,0.741208154087694
chemical,16,7,0.516563948023424
chemical,17,7,0.386682969983305
chemical,18,7,0.319682554617558
chemical,19,7,0.299385148958445
chemical,20,7,0.310820648525459
chemical,21,7,0.338586748524042
chemical,22,7,0.371017307023524
chemical,23,7,0.402763880657019
chemical,24,7,0.433843853658647
chemical,25,7,0.46546896704369
chemical,26,7,0.497516052996966
chemical,27,7,0.528531404560205
chemical,28,7,0.557867445216902
chemical,29,7,0.5874016078164
chemical,30,7,0.622199303841729
chemical,31,7,0.669830987697071
chemical,32,7,0.738529463459083
chemical,33,7,0.83442787674115
chemical,34,7,0.958699063631409
chemical,35,7,1.10581914805972
chemical,36,7,1.26392853618608
chemical,37,7,1.41735187852164
chemical,38,7,1.55023275773171
chemical,0,8,4.6912950180058
chemical,1,8,6.84148079962021
chemical,2,8,9.80605610092931
chemical,3,8,13.3389031115019
chemical,4,8,16.2664581221532
chemical,5,8,17.4772082349018
chemical,6,8,16.145067627576
chemical,7,8,13.2195652056839
