Category,x,y,amount
chemical,23,4,0.001710260559476
chemical,24,4,7.52E-04
chemical,25,4,3.30E-04
chemical,26,4,1.50E-04
chemical,27,4,7.51E-05
chemical,28,4,4.62E-05
chemical,29,4,3.69E-05
chemical,30,4,3.62E-05
chemical,31,4,3.96E-05
chemical,32,4,4.50E-05
chemical,33,4,5.12E-05
chemical,34,4,5.75E-05
chemical,35,4,6.28E-05
chemical,36,4,6.63E-05
chemical,37,4,6.71E-05
chemical,38,4,6.45E-05
chemical,0,5,7.07210931843846
chemical,1,5,14.0079011977969
chemical,2,5,33.5082012554592
chemical,3,5,134.147940691671
food,3,5,2
chemical,4,5,33.2769389568344
food,4,5,2
chemical,5,5,16.2303514905677
food,5,5,2
chemical,6,5,16.9103785898916
food,6,5,2
chemical,7,5,37.608386870388
food,7,5,2
chemical,8,5,23.1045173170022
chemical,9,5,19.7281188528954
chemical,10,5,14.2147334575836
chemical,11,5,10.3358066660964
chemical,12,5,6.68038552370145
chemical,13,5,3.8219592027549
chemical,14,5,1.98537061734019
chemical,15,5,0.964993523422912
chemical,16,5,0.451336451591443
chemical,17,5,0.207272838975211
chemical,18,5,0.094493693140246
chemical,19,5,0.042939051424828
chemical,20,5,0.01946436773636
chemical,21,5,0.008797815133482
chemical,22,5,0.003962331895736
chemical,23,5,0.001780284202359
chemical,24,5,8.05E-04
chemical,25,5,3.76E-04
chemical,26,5,1.92E-04
chemical,27,5,1.17E-04
chemical,28,5,8.92E-05
chemical,29,5,8.35E-05
chemical,30,5,8.86E-05
chemical,31,5,9.99E-05
chemical,32,5,1.15E-04
chemical,33,5,1.32E-04
chemical,34,5,1.49E-04
chemical,35,5,1.63E-04
chemical,36,5,1.73E-04
chemical,37,5,1.76E-04
chemical,38,5,1.71E-04
chemical,0,6,7.05710676734927
chemical,1,6,14.0941593321732
chemical,2,6,35.2547250059486
chemical,3,6,110.42965312666
food,3,6,2
chemical,4,6,34.3565064167996
food,4,6,2
chemical,5,6,17.5443653184763
food,5,6,2
chemical,6,6,16.8383446174434
food,6,6,2
chemical,7,6,18.3345255687568
food,7,6,1
chemical,8,6,19.7731737907141
chemical,9,6,16.8525917395364
chemical,10,6,14.2757856100917
chemical,11,6,10.5334181449942
chemical,12,6,6.78036797726012
chemical,13,6,3.84182470759734
chemical,14,6,1.96722124878869
chemical,15,6,0.940994516744323
chemical,16,6,0.433985624256875
chemical,17,6,0.197667208773557
chemical,18,6,0.090025482289068
chemical,19,6,0.041123465669819
chemical,20,6,0.018819081174877
chemical,21,6,0.008618017236743
chemical,22,6,0.003957113999977
chemical,23,6,0.001839334388524
chemical,24,6,8.88E-04
chemical,25,6,4.67E-04
chemical,26,6,2.87E-04
chemical,27,6,2.15E-04
chemical,28,6,1.93E-04
chemical,29,6,1.96E-04
chemical,30,6,2.15E-04
chemical,31,6,2.46E-04
chemical,32,6,2.85E-04
chemical,33,6,3.28E-04
chemical,34,6,3.73E-04
chemical,35,6,4.11E-04
chemical,36,6,4.39E-04
chemical,37,6,4.49E-04
chemical,38,6,4.38E-04
chemical,0,7,6.13610297895215
chemical,1,7,12.0249637440717
chemical,2,7,23.2636368321095
chemical,3,7,102.011778625417
chemical,4,7,27.0777652223606
chemical,5,7,16.2890724202914
food,5,7,2
chemical,6,7,13.2073631059246
food,6,7,2
chemical,7,7,14.0682176201164
chemical,8,7,14.9710548119799
chemical,9,7,14.6536248624541
chemical,10,7,12.515743660445
chemical,11,7,9.38205074406982
chemical,12,7,6.07566026857941
chemical,13,7,3.44980229764171
chemical,14,7,1.76496493928836
chemical,15,7,0.841403085830276
chemical,16,7,0.387019646685204
chemical,17,7,0.17651659446828
chemical,18,7,0.08098160828832
chemical,19,7,0.037477090263511
chemical,20,7,0.01746784027825
chemical,21,7,0.008210505031401
chemical,22,7,0.003932279149844
chemical,23,7,0.001969525808181
chemical,24,7,0.001079833591977
chemical,25,7,6.83E-04
chemical,26,7,5.12E-04
chemical,27,7,4.46E-04
chemical,28,7,4.35E-04
chemical,29,7,4.59E-04
chemical,30,7,5.10E-04
chemical,31,7,5.86E-04
chemical,32,7,6.82E-04
chemical,33,7,7.91E-04
chemical,34,7,9.02E-04
chemical,35,7,0.001000770187748
chemical,36,7,0.00107328723265
chemical,37,7,0.00110496781505
chemical,38,7,0.001084159290756
chemical,0,8,4.85058898403464
chemical,1,8,7.9057333487976
chemical,2,8,14.6379918058517
chemical,3,8,17.8797091853234
chemical,4,8,17.3676831508462
chemical,5,8,12.7625390403785
chemical,6,8,13.6529810399399
chemical,7,8,14.5554482843422
chemical,8,8,15.0758099724473
chemical,9,8,11.9388464500058
chemical,10,8,9.87845300036641
chemical,11,8,7.30349029572661
chemical,12,8,4.78378098883338
chemical,13,8,2.75801900906893
chemical,14,8,1.42980978813175
chemical,15,8,0.689518486970582
chemical,16,8,0.320705339989061
chemical,17,8,0.148244890711804
chemical,18,8,0.069232194231563
chemical,19,8,0.032814096188904
chemical,20,8,0.015816678256891
chemical,21,8,0.007834336291488
chemical,22,8,0.004096590929791
chemical,23,8,0.002361512879879
chemical,24,8,0.001563251615246
chemical,25,8,0.001198422943205
chemical,26,8,0.001036219623038
chemical,27,8,9.78E-04
chemical,28,8,9.86E-04
chemical,29,8,0.001052586964229
chemical,30,8,0.001175948330665
chemical,31,8,0.001355063268351
chemical,32,8,0.001582493109806
chemical,33,8,0.001842298216509
chemical,34,8,0.002109806735891
chemical,35,8,0.002353321296051
chemical,36,8,0.002537497051605
chemical,37,8,0.00262791753968
chemical,38,8,0.002596155425645
chemical,0,9,3.57134690651218
chemical,1,9,5.12258463846548
chemical,2,9,6.94375858859769
chemical,3,9,8.36935362372363
chemical,4,9,8.5113472019584
chemical,5,9,8.59202737123489
chemical,6,9,11.624982560234
chemical,7,9,27.4962921097998
chemical,8,9,15.3448840246984
chemical,9,9,11.601560781368
chemical,10,9,7.07067386577171
chemical,11,9,5.01752316702699
chemical,12,9,3.33184999027773
chemical,13,9,1.96973688962691
chemical,14,9,1.04987761844139
chemical,15,9,0.520249135784159
chemical,16,9,0.248574488568568
chemical,17,9,0.11817212821315
chemical,18,9,0.057006887732702
chemical,19,9,0.028202547462192
chemical,20,9,0.014503291063868
chemical,21,9,0.00797268149146
chemical,22,9,0.004878334207572
chemical,23,9,0.003420465377341
chemical,24,9,0.002727046905999
chemical,25,9,0.002386543875013
chemical,26,9,0.002219076194962
chemical,27,9,0.002160251361192
chemical,28,9,0.002200349364848
chemical,29,9,0.002351085468173
chemical,30,9,0.002626257171416
chemical,31,9,0.003029741355919
chemical,32,9,0.003548078964563
chemical,33,9,0.004146836469244
chemical,34,9,0.004770774115306
chemical,35,9,0.005347935931769
chemical,36,9,0.00579736200137
chemical,37,9,0.006039472228025
chemical,38,9,0.0060075553424
chemical,0,10,2.66728750187686
chemical,1,10,3.32217698939284
chemical,2,10,4.02365951373743
chemical,3,10,4.55613575975481
chemical,4,10,4.85975408103937
chemical,5,10,5.44151647137408
chemical,6,10,9.05077969165346
chemical,7,10,12.6690311390139
chemical,8,10,25.1011249498337
chemical,9,10,9.04074417454514
chemical,10,10,4.78199307165345
chemical,11,10,3.11792513595968
chemical,12,10,2.09082786645266
chemical,13,10,1.27703806261289
chemical,14,10,0.708081457306734
chemical,15,10,0.36617447400529
chemical,16,10,0.18280389221342
chemical,17,10,0.091070765564764
chemical,18,10,0.046495266083038
chemical,19,10,0.024937091068723
chemical,20,10,0.014514789183703
chemical,21,10,0.009511539890745
chemical,22,10,0.007129233496501
chemical,23,10,0.005977104866351
chemical,24,10,0.005375576281578
chemical,25,10,0.00501801262301
chemical,26,10,0.004795964826983
chemical,27,10,0.004704042826871
chemical,28,10,0.004784896566078
chemical,29,10,0.00509450126829
chemical,30,10,0.005677958670453
chemical,31,10,0.00655159880103
chemical,32,10,0.007690395042977
chemical,33,10,0.00902144773139
chemical,34,10,0.010424852551866
chemical,35,10,0.011742795571564
chemical,36,10,0.012796455225235
chemical,37,10,0.013408687656941
chemical,38,10,0.013429079261433
chemical,0,11,2.00322906860372
chemical,1,11,2.37027984050802
chemical,2,11,2.73062150193788
chemical,3,11,3.00982202671789
chemical,4,11,3.19930549554366
chemical,5,11,3.55902397354409
chemical,6,11,4.3175122220335
chemical,7,11,7.38957971238244
chemical,8,11,7.46201383408377
chemical,9,11,6.46707683283523
chemical,10,11,2.87279681933658
chemical,11,11,1.81883542563322
chemical,12,11,1.22785564789158
chemical,13,11,0.775440258225324
chemical,14,11,0.451010249456365
chemical,15,11,0.246664601589473
chemical,16,11,0.131166458308372
chemical,17,11,0.070458309191041
chemical,18,11,0.039837287368329
chemical,19,11,0.02475976138055
chemical,20,11,0.017508849360143
chemical,21,11,0.014113011149035
chemical,22,11,0.012522117361342
chemical,23,11,0.011689142248493
chemical,24,11,0.011117786171966
chemical,25,11,0.010627064642763
chemical,26,11,0.010218729433894
chemical,27,11,0.009995539025062
chemical,28,11,0.010104915949424
chemical,29,11,0.010695169326543
chemical,30,11,0.011878545872419
chemical,31,11,0.01369990286514
chemical,32,11,0.016112866441556
chemical,33,11,0.018967113716773
chemical,34,11,0.022010616495866
chemical,35,11,0.02490909850213
chemical,36,11,0.027281891617805
chemical,37,11,0.02874976167369
chemical,38,11,0.028987352992221
chemical,0,12,1.49808784749712
chemical,1,12,1.73859559170196
chemical,2,12,1.9687499378952
chemical,3,12,2.14194741850395
chemical,4,12,2.24314019905682
chemical,5,12,2.29815569647482
chemical,6,12,2.51076556953356
chemical,7,12,2.66932839032592
chemical,8,12,2.69452172706786
chemical,9,12,2.20024256498688
chemical,10,12,1.61101841121035
chemical,11,12,1.03627201569249
chemical,12,12,0.709952667408554
chemical,13,12,0.46298305991842
chemical,14,12,0.283431184990541
chemical,15,12,0.16616586097263
chemical,16,12,0.096790333666958
chemical,17,12,0.05893406522028
chemical,18,12,0.039623438646198
chemical,19,12,0.030442841360088
chemical,20,12,0.026464628875374
chemical,21,12,0.024917732928083
chemical,22,12,0.024279136540971
chemical,23,12,0.023766370624635
chemical,24,12,0.023063173286579
chemical,25,12,0.02216003288616
chemical,26,12,0.021248419986836
chemical,27,12,0.020639125530101
chemical,28,12,0.020690491643326
chemical,29,12,0.021740406709765
chemical,30,12,0.024041063216684
chemical,31,12,0.027699594920123
chemical,32,12,0.032631318021487
chemical,33,12,0.038534652907176
chemical,34,12,0.044896503626247
chemical,35,12,0.051032985259843
chemical,36,12,0.056163450591881
chemical,37,12,0.059507963060501
chemical,38,12,0.060392595234649
chemical,0,13,1.09461720684703
chemical,1,13,1.25924148343219
chemical,2,13,1.41549786595424
chemical,3,13,1.52971687511587
chemical,4,13,1.58175251098679
chemical,5,13,1.57507534091107
chemical,6,13,1.51646176551001
chemical,7,13,1.41550425592422
chemical,8,13,1.25793136707752
chemical,9,13,1.0549728077059
chemical,10,13,0.823770377345546
chemical,11,13,0.608044905411376
chemical,12,13,0.425656866469696
chemical,13,13,0.286837832167344
chemical,14,13,0.186247279649566
chemical,15,13,0.119910434659624
chemical,16,13,0.0804104425144
chemical,17,13,0.059433064590973
chemical,18,13,0.049940853869073
chemical,19,13,0.046857095579198
chemical,20,13,0.046832798241812
chemical,21,13,0.047767547292358
chemical,22,13,0.048428089501806
chemical,23,13,0.048212018386321
chemical,24,13,0.047002815499092
chemical,25,13,0.045063077157882
chemical,26,13,0.042935190632504
chemical,27,13,0.041336224817938
chemical,28,13,0.0410438154865
chemical,29,13,0.042775004570424
chemical,30,13,0.047063525312062
chemical,31,13,0.05414535674615
chemical,32,13,0.063867812519007
chemical,33,13,0.07564156430268
chemical,34,13,0.088453959684939
chemical,35,13,0.100953214470742
chemical,36,13,0.111597780841014
chemical,37,13,0.118848751953859
chemical,38,13,0.121372415277085
chemical,0,14,0.775065630243946
chemical,1,14,0.887130136264627
chemical,2,14,0.993405758684646
chemical,3,14,1.07003509392912
chemical,4,14,1.10123870910851
chemical,5,14,1.08147470575373
chemical,6,14,1.01475442343716
chemical,7,14,0.91086463813864
chemical,8,14,0.782542365471091
chemical,9,14,0.642819084674706
chemical,10,14,0.504696161156518
chemical,11,14,0.379125476205853
chemical,12,14,0.274156447249152
chemical,13,14,0.193477892265164
chemical,14,14,0.13707071460876
chemical,15,14,0.101941335735761
chemical,16,14,0.083585355511062
chemical,17,14,0.077088851218536
chemical,18,14,0.077997473508892
chemical,19,14,0.082688342217927
chemical,20,14,0.088408294341775
chemical,21,14,0.093201778879785
chemical,22,14,0.095849617343694
chemical,23,14,0.09583563765971
chemical,24,14,0.093309225256032
chemical,25,14,0.089011491244679
chemical,26,14,0.084150812105878
chemical,27,14,0.080230757986776
chemical,28,14,0.078842763739959
chemical,29,14,0.081438227485122
chemical,30,14,0.089095572805657
chemical,31,14,0.102302747297574
chemical,32,14,0.120785405717069
chemical,33,14,0.143419637824291
chemical,34,14,0.168265928221224
chemical,35,14,0.19274177077298
chemical,36,14,0.213917173221231
chemical,37,14,0.22888321641458
chemical,38,14,0.235124962751466
chemical,0,15,0.530319791764709
chemical,1,15,0.605151113777679
chemical,2,15,0.67640199651886
chemical,3,15,0.727930679561103
chemical,4,15,0.748492307722208
chemical,5,15,0.733518969591586
chemical,6,15,0.685185093655799
chemical,7,15,0.610885223188432
chemical,8,15,0.520849919143946
chemical,9,15,0.425810986246243
chemical,10,15,0.335245978193073
chemical,11,15,0.256364418919226
chemical,12,15,0.193682040703522
chemical,13,15,0.149063920395883
chemical,14,15,0.122094754732707
chemical,15,15,0.110675272654694
chemical,16,15,0.111671125387169
chemical,17,15,0.121476562110347
chemical,18,15,0.136415850158567
chemical,19,15,0.153011811072418
chemical,20,15,0.168198080611007
chemical,21,15,0.179535824569798
chemical,22,15,0.185437608761469
chemical,23,15,0.185350637707598
chemical,24,15,0.179837897201876
chemical,25,15,0.170517172799064
chemical,26,15,0.159855272772126
chemical,27,15,0.150846236964872
chemical,28,15,0.146615401949105
chemical,29,15,0.149987850938932
chemical,30,15,0.163053351134463
chemical,31,15,0.186764654092092
chemical,32,15,0.220624851058609
chemical,33,15,0.262538523459767
chemical,34,15,0.308897747517841
chemical,35,15,0.35493266076267
chemical,36,15,0.395285256155906
chemical,37,15,0.424695553020873
chemical,38,15,0.438658221020907
chemical,0,16,0.350800674541083
chemical,1,16,0.399692850389354
chemical,2,16,0.446612335329931
chemical,3,16,0.4810469796759
chemical,4,16,0.495482668178023
chemical,5,16,0.486632865781067
chemical,6,16,0.455687433544628
chemical,7,16,0.40753820327005
chemical,8,16,0.349321884473703
chemical,9,16,0.288796948917735
chemical,10,16,0.232998552037278
chemical,11,16,0.187395205978628
chemical,12,16,0.155548561475928
chemical,13,16,0.139142018276964
chemical,14,16,0.138205404681571
chemical,15,16,0.151389951990729
chemical,16,16,0.176209944357731
chemical,17,16,0.209242807943911
chemical,18,16,0.246344046230519
chemical,19,16,0.2829594998958
chemical,20,16,0.314588684851755
chemical,21,16,0.337380247341659
chemical,22,16,0.348759339046018
chemical,23,16,0.347938515530241
chemical,24,16,0.336173585104527
chemical,25,16,0.316689410498884
chemical,26,16,0.294287245176629
chemical,27,16,0.274714236599881
chemical,28,16,0.263900266399718
chemical,29,16,0.267150329071509
chemical,30,16,0.28835347671804
chemical,31,16,0.32926818472132
chemical,32,16,0.388979523510688
chemical,33,16,0.463665775635528
chemical,34,16,0.546807949726755
chemical,35,16,0.629889870195801
chemical,36,16,0.703488396641487
chemical,37,16,0.758514645890924
chemical,38,16,0.787319792385914
chemical,0,17,0.225933510126087
chemical,1,17,0.257497071034264
chemical,2,17,0.28814095538246
chemical,3,17,0.311200858016336
chemical,4,17,0.321819594994971
chemical,5,17,0.317777417736934
